# mu=0.3
# lamb=0
# N=6
# m=0
# dim=20
# T=10
# dt=0.01

# t 	 <S_z,1>
0	-0.5
0.01	-0.49995
0.02	-0.4998
0.03	-0.49955
0.04	-0.4992
0.05	-0.498751
0.06	-0.498202
0.07	-0.497553
0.08	-0.496805
0.09	-0.495958
0.1	-0.495013
0.11	-0.493969
0.12	-0.492827
0.13	-0.491587
0.14	-0.490249
0.15	-0.488815
0.16	-0.487284
0.17	-0.485657
0.18	-0.483935
0.19	-0.482117
0.2	-0.480205
0.21	-0.478199
0.22	-0.4761
0.23	-0.473908
0.24	-0.471624
0.25	-0.469249
0.26	-0.466783
0.27	-0.464228
0.28	-0.461583
0.29	-0.458851
0.3	-0.456031
0.31	-0.453124
0.32	-0.450132
0.33	-0.447056
0.34	-0.443895
0.35	-0.440652
0.36	-0.437327
0.37	-0.433921
0.38	-0.430435
0.39	-0.426871
0.4	-0.423229
0.41	-0.41951
0.42	-0.415716
0.43	-0.411848
0.44	-0.407907
0.45	-0.403893
0.46	-0.399809
0.47	-0.395656
0.48	-0.391434
0.49	-0.387146
0.5	-0.382791
0.51	-0.378373
0.52	-0.373891
0.53	-0.369348
0.54	-0.364744
0.55	-0.360081
0.56	-0.35536
0.57	-0.350583
0.58	-0.345752
0.59	-0.340867
0.6	-0.33593
0.61	-0.330942
0.62	-0.325906
0.63	-0.320821
0.64	-0.315691
0.65	-0.310516
0.66	-0.305298
0.67	-0.300038
0.68	-0.294738
0.69	-0.2894
0.7	-0.284025
0.71	-0.278614
0.72	-0.273169
0.73	-0.267692
0.74	-0.262184
0.75	-0.256646
0.76	-0.251081
0.77	-0.24549
0.78	-0.239875
0.79	-0.234236
0.8	-0.228576
0.81	-0.222896
0.82	-0.217198
0.83	-0.211484
0.84	-0.205754
0.85	-0.200011
0.86	-0.194256
0.87	-0.18849
0.88	-0.182716
0.89	-0.176935
0.9	-0.171147
0.91	-0.165356
0.92	-0.159563
0.93	-0.153768
0.94	-0.147974
0.95	-0.142182
0.96	-0.136394
0.97	-0.13061
0.98	-0.124834
0.99	-0.119065
1	-0.113307
1.01	-0.107559
1.02	-0.101824
1.03	-0.096103
1.04	-0.0903976
1.05	-0.0847091
1.06	-0.079039
1.07	-0.0733887
1.08	-0.0677596
1.09	-0.062153
1.1	-0.0565704
1.11	-0.051013
1.12	-0.0454823
1.13	-0.0399796
1.14	-0.0345061
1.15	-0.0290631
1.16	-0.023652
1.17	-0.018274
1.18	-0.0129302
1.19	-0.00762204
1.2	-0.00235057
1.21	0.00288299
1.22	0.00807747
1.23	0.0132317
1.24	0.0183447
1.25	0.0234152
1.26	0.0284422
1.27	0.0334246
1.28	0.0383614
1.29	0.0432516
1.3	0.0480941
1.31	0.0528881
1.32	0.0576326
1.33	0.0623266
1.34	0.0669692
1.35	0.0715596
1.36	0.0760969
1.37	0.0805804
1.38	0.0850091
1.39	0.0893823
1.4	0.0936992
1.41	0.0979592
1.42	0.102161
1.43	0.106305
1.44	0.11039
1.45	0.114416
1.46	0.11838
1.47	0.122285
1.48	0.126127
1.49	0.129908
1.5	0.133627
1.51	0.137282
1.52	0.140874
1.53	0.144403
1.54	0.147867
1.55	0.151267
1.56	0.154602
1.57	0.157872
1.58	0.161076
1.59	0.164214
1.6	0.167287
1.61	0.170293
1.62	0.173233
1.63	0.176107
1.64	0.178914
1.65	0.181654
1.66	0.184327
1.67	0.186933
1.68	0.189473
1.69	0.191945
1.7	0.194351
1.71	0.19669
1.72	0.198962
1.73	0.201167
1.74	0.203306
1.75	0.205378
1.76	0.207384
1.77	0.209324
1.78	0.211198
1.79	0.213007
1.8	0.21475
1.81	0.216429
1.82	0.218042
1.83	0.219591
1.84	0.221077
1.85	0.222498
1.86	0.223857
1.87	0.225152
1.88	0.226385
1.89	0.227557
1.9	0.228667
1.91	0.229716
1.92	0.230705
1.93	0.231634
1.94	0.232504
1.95	0.233315
1.96	0.234068
1.97	0.234764
1.98	0.235403
1.99	0.235986
2	0.236513
2.01	0.236986
2.02	0.237405
2.03	0.23777
2.04	0.238083
2.05	0.238345
2.06	0.238555
2.07	0.238715
2.08	0.238826
2.09	0.238888
2.1	0.238902
2.11	0.23887
2.12	0.238791
2.13	0.238667
2.14	0.238499
2.15	0.238288
2.16	0.238034
2.17	0.237738
2.18	0.237402
2.19	0.237026
2.2	0.236611
2.21	0.236158
2.22	0.235668
2.23	0.235143
2.24	0.234582
2.25	0.233987
2.26	0.233359
2.27	0.232699
2.28	0.232008
2.29	0.231287
2.3	0.230537
2.31	0.229758
2.32	0.228953
2.33	0.228121
2.34	0.227264
2.35	0.226383
2.36	0.225479
2.37	0.224552
2.38	0.223605
2.39	0.222637
2.4	0.221651
2.41	0.220646
2.42	0.219624
2.43	0.218586
2.44	0.217533
2.45	0.216465
2.46	0.215385
2.47	0.214292
2.48	0.213188
2.49	0.212074
2.5	0.21095
2.51	0.209818
2.52	0.208679
2.53	0.207533
2.54	0.206381
2.55	0.205225
2.56	0.204066
2.57	0.202903
2.58	0.201739
2.59	0.200573
2.6	0.199408
2.61	0.198243
2.62	0.19708
2.63	0.195919
2.64	0.194762
2.65	0.193608
2.66	0.19246
2.67	0.191317
2.68	0.19018
2.69	0.189051
2.7	0.18793
2.71	0.186817
2.72	0.185714
2.73	0.184621
2.74	0.183539
2.75	0.182469
2.76	0.18141
2.77	0.180365
2.78	0.179332
2.79	0.178314
2.8	0.177311
2.81	0.176323
2.82	0.175351
2.83	0.174395
2.84	0.173456
2.85	0.172534
2.86	0.17163
2.87	0.170745
