# mu=0.3
# lamb=0
# N=4
# m=0
# dim=6
# T=10
# dt=0.1
# n=1

#<S_z*S_z+n>
-0.25	-0.25	-0.25	-0.25	
-0.247517	-0.247517	-0.247517	-0.247517	
-0.240267	-0.240267	-0.240267	-0.240267	
-0.228832	-0.228832	-0.228832	-0.228832	
-0.214133	-0.214133	-0.214133	-0.214133	
-0.197349	-0.197349	-0.197349	-0.197349	
-0.179829	-0.179829	-0.179829	-0.179829	
-0.162982	-0.162982	-0.162982	-0.162982	
-0.148161	-0.148161	-0.148161	-0.148161	
-0.136557	-0.136557	-0.136557	-0.136557	
-0.129102	-0.129102	-0.129102	-0.129102	
-0.126396	-0.126396	-0.126396	-0.126396	
-0.128655	-0.128655	-0.128655	-0.128655	
-0.1357	-0.1357	-0.1357	-0.1357	
-0.146962	-0.146962	-0.146962	-0.146962	
-0.161538	-0.161538	-0.161538	-0.161538	
-0.178256	-0.178256	-0.178256	-0.178256	
-0.195773	-0.195773	-0.195773	-0.195773	
-0.21268	-0.21268	-0.21268	-0.21268	
-0.22762	-0.22762	-0.22762	-0.22762	
-0.239393	-0.239393	-0.239393	-0.239393	
-0.247051	-0.247051	-0.247051	-0.247051	
-0.24998	-0.24998	-0.24998	-0.24998	
-0.247944	-0.247944	-0.247944	-0.247944	
-0.241106	-0.241106	-0.241106	-0.241106	
-0.230018	-0.230018	-0.230018	-0.230018	
-0.215568	-0.215568	-0.215568	-0.215568	
-0.198919	-0.198919	-0.198919	-0.198919	
-0.181408	-0.181408	-0.181408	-0.181408	
-0.164443	-0.164443	-0.164443	-0.164443	
-0.149386	-0.149386	-0.149386	-0.149386	
-0.137448	-0.137448	-0.137448	-0.137448	
-0.129588	-0.129588	-0.129588	-0.129588	
-0.126437	-0.126437	-0.126437	-0.126437	
-0.128249	-0.128249	-0.128249	-0.128249	
-0.134877	-0.134877	-0.134877	-0.134877	
-0.145791	-0.145791	-0.145791	-0.145791	
-0.160112	-0.160112	-0.160112	-0.160112	
-0.176689	-0.176689	-0.176689	-0.176689	
-0.194191	-0.194191	-0.194191	-0.194191	
-0.211211	-0.211211	-0.211211	-0.211211	
-0.226382	-0.226382	-0.226382	-0.226382	
-0.238485	-0.238485	-0.238485	-0.238485	
-0.246546	-0.246546	-0.246546	-0.246546	
-0.249918	-0.249918	-0.249918	-0.249918	
-0.248331	-0.248331	-0.248331	-0.248331	
-0.241911	-0.241911	-0.241911	-0.241911	
-0.231175	-0.231175	-0.231175	-0.231175	
-0.216985	-0.216985	-0.216985	-0.216985	
-0.200482	-0.200482	-0.200482	-0.200482	
-0.182992	-0.182992	-0.182992	-0.182992	
-0.165919	-0.165919	-0.165919	-0.165919	
-0.150637	-0.150637	-0.150637	-0.150637	
-0.138373	-0.138373	-0.138373	-0.138373	
-0.130112	-0.130112	-0.130112	-0.130112	
-0.126519	-0.126519	-0.126519	-0.126519	
-0.127881	-0.127881	-0.127881	-0.127881	
-0.134091	-0.134091	-0.134091	-0.134091	
-0.144648	-0.144648	-0.144648	-0.144648	
-0.158704	-0.158704	-0.158704	-0.158704	
-0.17513	-0.17513	-0.17513	-0.17513	
-0.192606	-0.192606	-0.192606	-0.192606	
-0.209728	-0.209728	-0.209728	-0.209728	
-0.225119	-0.225119	-0.225119	-0.225119	
-0.237543	-0.237543	-0.237543	-0.237543	
-0.246002	-0.246002	-0.246002	-0.246002	
-0.249816	-0.249816	-0.249816	-0.249816	
-0.248678	-0.248678	-0.248678	-0.248678	
-0.24268	-0.24268	-0.24268	-0.24268	
-0.232304	-0.232304	-0.232304	-0.232304	
-0.218383	-0.218383	-0.218383	-0.218383	
-0.202037	-0.202037	-0.202037	-0.202037	
-0.184578	-0.184578	-0.184578	-0.184578	
-0.167411	-0.167411	-0.167411	-0.167411	
-0.151913	-0.151913	-0.151913	-0.151913	
-0.13933	-0.13933	-0.13933	-0.13933	
-0.130675	-0.130675	-0.130675	-0.130675	
-0.126641	-0.126641	-0.126641	-0.126641	
-0.127554	-0.127554	-0.127554	-0.127554	
-0.13334	-0.13334	-0.13334	-0.13334	
-0.143533	-0.143533	-0.143533	-0.143533	
-0.157316	-0.157316	-0.157316	-0.157316	
-0.173579	-0.173579	-0.173579	-0.173579	
-0.191018	-0.191018	-0.191018	-0.191018	
-0.208229	-0.208229	-0.208229	-0.208229	
-0.223831	-0.223831	-0.223831	-0.223831	
-0.236569	-0.236569	-0.236569	-0.236569	
-0.24542	-0.24542	-0.24542	-0.24542	
-0.249673	-0.249673	-0.249673	-0.249673	
-0.248985	-0.248985	-0.248985	-0.248985	
-0.243413	-0.243413	-0.243413	-0.243413	
-0.233404	-0.233404	-0.233404	-0.233404	
-0.219761	-0.219761	-0.219761	-0.219761	
-0.203583	-0.203583	-0.203583	-0.203583	
-0.186168	-0.186168	-0.186168	-0.186168	
-0.168916	-0.168916	-0.168916	-0.168916	
-0.153213	-0.153213	-0.153213	-0.153213	
-0.140321	-0.140321	-0.140321	-0.140321	
-0.131276	-0.131276	-0.131276	-0.131276	
-0.126805	-0.126805	-0.126805	-0.126805	
-0.127267	-0.127267	-0.127267	-0.127267	
-0.132625	-0.132625	-0.132625	-0.132625	
