-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
-0.499375	-0.5	-0.5	-0.5	-0.5	-0.5	-0.499375	0.499375	0.5	0.5	0.5	0.5	0.5	0.499375	
-0.497505	-0.499998	-0.5	-0.5	-0.5	-0.499998	-0.497505	0.497505	0.499998	0.5	0.5	0.5	0.499998	0.497505	
-0.494401	-0.499992	-0.5	-0.5	-0.5	-0.499992	-0.494401	0.494401	0.499992	0.5	0.5	0.5	0.499992	0.494401	
-0.490083	-0.499975	-0.5	-0.5	-0.5	-0.499975	-0.490083	0.490083	0.499975	0.5	0.5	0.5	0.499975	0.490083	
-0.484577	-0.49994	-0.5	-0.5	-0.5	-0.49994	-0.484577	0.484577	0.49994	0.5	0.5	0.5	0.49994	0.484577	
-0.477918	-0.499875	-0.5	-0.5	-0.5	-0.499875	-0.477918	0.477918	0.499875	0.5	0.5	0.5	0.499875	0.477918	
-0.470147	-0.49977	-0.499999	-0.5	-0.499999	-0.49977	-0.470147	0.470147	0.49977	0.499999	0.5	0.499999	0.49977	0.470147	
-0.461311	-0.49961	-0.499998	-0.5	-0.499998	-0.49961	-0.461311	0.461311	0.49961	0.499998	0.5	0.499998	0.49961	0.461311	
-0.451466	-0.499379	-0.499996	-0.5	-0.499996	-0.499379	-0.451466	0.451466	0.499379	0.499996	0.5	0.499996	0.499379	0.451466	
-0.440671	-0.49906	-0.499993	-0.5	-0.499993	-0.49906	-0.440671	0.440671	0.49906	0.499993	0.5	0.499993	0.49906	0.440671	
-0.428992	-0.498635	-0.499988	-0.5	-0.499988	-0.498635	-0.428992	0.428992	0.498635	0.499988	0.5	0.499988	0.498635	0.428992	
-0.416501	-0.498084	-0.499981	-0.5	-0.499981	-0.498084	-0.416501	0.416501	0.498084	0.499981	0.5	0.499981	0.498084	0.416501	
-0.403271	-0.497386	-0.499969	-0.5	-0.499969	-0.497386	-0.403271	0.403271	0.497386	0.499969	0.5	0.499969	0.497386	0.403271	
-0.389381	-0.49652	-0.499952	-0.499999	-0.499952	-0.49652	-0.389381	0.389381	0.49652	0.499952	0.499999	0.499952	0.49652	0.389381	
-0.374915	-0.495464	-0.499928	-0.499999	-0.499928	-0.495464	-0.374915	0.374915	0.495464	0.499928	0.499999	0.499928	0.495464	0.374915	
-0.359957	-0.494198	-0.499895	-0.499998	-0.499895	-0.494198	-0.359957	0.359957	0.494198	0.499895	0.499998	0.499895	0.494198	0.359957	
-0.344592	-0.492699	-0.49985	-0.499997	-0.49985	-0.492699	-0.344592	0.344592	0.492699	0.49985	0.499997	0.49985	0.492699	0.344592	
-0.32891	-0.490946	-0.499791	-0.499995	-0.499791	-0.490946	-0.32891	0.32891	0.490946	0.499791	0.499995	0.499791	0.490946	0.32891	
-0.313	-0.488919	-0.499713	-0.499992	-0.499713	-0.488919	-0.313	0.313	0.488919	0.499713	0.499992	0.499713	0.488919	0.313	
-0.296948	-0.486598	-0.499615	-0.499988	-0.499615	-0.486598	-0.296948	0.296948	0.486598	0.499615	0.499988	0.499615	0.486598	0.296948	
-0.280845	-0.483966	-0.49949	-0.499982	-0.49949	-0.483966	-0.280845	0.280845	0.483966	0.49949	0.499982	0.49949	0.483966	0.280845	
-0.264776	-0.481004	-0.499334	-0.499974	-0.499334	-0.481004	-0.264776	0.264776	0.481004	0.499334	0.499974	0.499334	0.481004	0.264776	
-0.248827	-0.477699	-0.499142	-0.499964	-0.499142	-0.477699	-0.248827	0.248827	0.477699	0.499142	0.499964	0.499142	0.477699	0.248827	
-0.233079	-0.474037	-0.498908	-0.499949	-0.498908	-0.474037	-0.233079	0.233079	0.474037	0.498908	0.499949	0.498908	0.474037	0.233079	
-0.217613	-0.470006	-0.498626	-0.499931	-0.498626	-0.470006	-0.217613	0.217613	0.470006	0.498626	0.499931	0.498626	0.470006	0.217613	
-0.202503	-0.465598	-0.498288	-0.499906	-0.498288	-0.465598	-0.202503	0.202503	0.465598	0.498288	0.499906	0.498288	0.465598	0.202503	
-0.187822	-0.460806	-0.497886	-0.499875	-0.497886	-0.460806	-0.187822	0.187822	0.460806	0.497886	0.499875	0.497886	0.460806	0.187822	
-0.173637	-0.455627	-0.497414	-0.499835	-0.497414	-0.455627	-0.173637	0.173637	0.455627	0.497414	0.499835	0.497414	0.455627	0.173637	
-0.160009	-0.45006	-0.496862	-0.499784	-0.496862	-0.45006	-0.160009	0.160009	0.45006	0.496862	0.499784	0.496862	0.45006	0.160009	
-0.146995	-0.444105	-0.496222	-0.499721	-0.496222	-0.444105	-0.146995	0.146995	0.444105	0.496222	0.499721	0.496222	0.444105	0.146995	
-0.134647	-0.437769	-0.495484	-0.499642	-0.495484	-0.437769	-0.134647	0.134647	0.437769	0.495484	0.499642	0.495484	0.437769	0.134647	
-0.123009	-0.431058	-0.494638	-0.499546	-0.494638	-0.431058	-0.123009	0.123009	0.431058	0.494638	0.499546	0.494638	0.431058	0.123009	
-0.112121	-0.423983	-0.493676	-0.499429	-0.493676	-0.423983	-0.112121	0.112121	0.423983	0.493676	0.499429	0.493676	0.423983	0.112121	
-0.102014	-0.416557	-0.492587	-0.499286	-0.492587	-0.416557	-0.102014	0.102014	0.416557	0.492587	0.499286	0.492587	0.416557	0.102014	
-0.0927148	-0.408796	-0.49136	-0.499115	-0.49136	-0.408796	-0.0927148	0.0927148	0.408796	0.49136	0.499115	0.49136	0.408796	0.0927148	
